time,Manual
2010-10-04 15:00:00,0
2010-10-04 16:00:00,0
2010-10-04 17:00:00,0
2010-10-04 18:00:00,0
2010-10-04 19:00:00,0
2010-10-04 20:00:00,0
2010-10-04 21:00:00,1
2010-10-04 22:00:00,1
2010-10-04 23:00:00,1
2010-10-05 00:00:00,0
2010-10-05 01:00:00,1
2010-10-05 02:00:00,1
2010-10-05 03:00:00,1
2010-10-05 04:00:00,1
2010-10-05 05:00:00,1
2010-10-05 06:00:00,0
2010-10-05 07:00:00,1
2010-10-05 08:00:00,1
