time,Manual
2009-05-05 17:00:03,0
2009-05-05 18:00:03,0
2009-05-05 19:00:03,0
2009-05-05 20:00:03,1#fell asleep watching tv, wakes up 2 later
2009-05-05 21:00:03,0
2009-05-05 22:00:03,1
2009-05-05 23:00:03,0#woken up but sleepin until 2 before
2009-05-06 00:00:03,0#wakes up exactly at that time... not sure what to label...
2009-05-06 01:00:03,1
2009-05-06 02:00:03,1
2009-05-06 03:00:03,1
2009-05-06 04:00:03,0#kept awake for a few!
2009-05-06 05:00:03,1
2009-05-06 06:00:03,1
2009-05-06 07:00:03,0
2009-05-06 08:00:03,0
2009-05-06 09:00:03,0
2009-05-06 10:00:03,0
2009-05-06 11:00:03,0
2009-05-06 12:00:03,0
2009-05-06 13:00:03,0
2009-05-06 14:00:03,0
2009-05-06 15:00:03,0
2009-05-06 16:00:03,0
2009-05-06 17:00:03,0
2009-05-06 18:00:03,0
2009-05-06 19:00:03,0
2009-05-06 20:00:03,0
2009-05-06 21:00:03,0
2009-05-06 22:00:03,0
2009-05-06 23:00:03,0
2009-05-07 00:00:03,0#Only started trying to sleep 1 min before..... CHECK
2009-05-07 01:00:03,1
2009-05-07 02:00:03,1#awake few before...
2009-05-07 03:00:03,1
2009-05-07 04:00:03,1#awake 2 before...
2009-05-07 05:00:03,1
2009-05-07 06:00:03,1
2009-05-07 07:00:03,1
2009-05-07 08:00:03,0
2009-05-07 09:00:03,0
2009-05-07 10:00:03,0
2009-05-07 11:00:03,0
2009-05-07 12:00:03,0
2009-05-07 13:00:03,0
2009-05-07 14:00:03,0
2009-05-07 15:00:03,0
2009-05-07 16:00:03,1#NAPPING?, CHECK
2009-05-07 17:00:03,0
2009-05-07 18:00:03,0
2009-05-07 19:00:03,0
2009-05-07 20:00:03,0
2009-05-07 21:00:03,0
2009-05-07 22:00:03,0
2009-05-07 23:00:03,0
2009-05-08 00:00:03,1#wakes up but after. 
2009-05-08 01:00:03,1
2009-05-08 02:00:03,1
2009-05-08 03:00:03,1
2009-05-08 04:00:03,1
2009-05-08 05:00:03,1
